Mod:Item:MetaData, Localized Name
thermalexpansion:augment:304, 升级: 炽焱高温裂解
thermalexpansion:augment:320, 升级: 土壤肥力恢复
thermalexpansion:augment:323, 升级: 树苗灌注基底
thermalexpansion:augment:324, 升级: 自动轮作循环
thermalexpansion:augment:336, 升级: 通货铸造授权
thermalexpansion:augment:337, 升级: 齿轮工作模具
thermalexpansion:augment:352, 升级: 热量对流循环
thermalexpansion:augment:368, 升级: 原油回流蒸馏
thermalexpansion:augment:369, 升级: 炼金术反应釜
thermalexpansion:augment:400, 升级: 通量链接集合
thermalexpansion:augment:401, 升级: 通量维修复原
thermalexpansion:augment:402, 升级: 抛物通量耦合
thermalexpansion:augment:416, 升级: 生物离心分解
thermalexpansion:augment:432, 升级: 模板精确对准
thermalexpansion:augment:433, 升级: 流体循环制造
thermalexpansion:augment:448, 升级: 反应催化试剂
thermalexpansion:augment:496, 升级: 火成碎屑注入
thermalexpansion:augment:497, 升级: 碎屑沉积
thermalexpansion:augment:512, 升级: 辅助传动线圈
thermalexpansion:augment:513, 升级: 燃料催化加速
thermalexpansion:augment:514, 升级: 传输线圈管道
thermalexpansion:augment:515, 升级: 励磁限制装置
thermalexpansion:augment:576, 升级: 蒸汽锅炉转化
thermalexpansion:augment:640, 升级: 涡轮增压装置
thermalexpansion:augment:656, 升级: 熵增抑制容器
thermalexpansion:augment:672, 升级: 闭环冷却系统
thermalexpansion:augment:673, 升级: 缸内喷射点火
thermalexpansion:augment:674, 升级: 煽动流形
thermalexpansion:augment:688, 升级: 基础反应催化
thermalexpansion:augment:704, 升级: 魔力弱化分离
thermalexpansion:augment:720, 升级: 宝石印刻校准
thermalexpansion:florb:0, 流体球 (空§r)
thermalexpansion:florb:1, 熔岩流体球 (空§r)
thermalexpansion:morb:0, 生物球 (空§r)
thermalexpansion:morb:1, 可复用生物球 (空§r)
thermaldynamics:duct_0:0, 铅石能量管道
thermaldynamics:duct_0:1, 硬化能量管道
thermaldynamics:duct_0:2, 红石能量管道
thermaldynamics:duct_0:3, 信素能量管道
thermaldynamics:duct_0:4, 谐振能量管道
thermaldynamics:duct_0:5, 凛冰固化能量管道
thermaldynamics:duct_0:6, 红石能量管道（空）
thermaldynamics:duct_0:7, 信素能量管道（空）
thermaldynamics:duct_0:8, 谐振能量管道（空）
thermaldynamics:duct_0:9, 凛冰固化能量管道（空）
thermaldynamics:duct_16:0, 约束流体管道
thermaldynamics:duct_16:1, 不透明约束流体管道
thermaldynamics:duct_16:2, 硬化流体管道
thermaldynamics:duct_16:3, 不透明硬化流体管道
thermaldynamics:duct_16:4, 信素流体管道
thermaldynamics:duct_16:5, 不透明信素流体管道
thermaldynamics:duct_16:6, 极速层流流体管道
thermaldynamics:duct_16:7, 不透明极速层流流体管道
thermaldynamics:duct_32:0, 真空基础物品管道
thermaldynamics:duct_32:0, 致密基础物品管道
thermaldynamics:duct_32:0, 基础物品管道
thermaldynamics:duct_32:1, 真空不透明基础物品管道
thermaldynamics:duct_32:1, 致密不透明基础物品管道
thermaldynamics:duct_32:1, 不透明基础物品管道
thermaldynamics:duct_32:2, 真空动能物品管道
thermaldynamics:duct_32:2, 致密动能物品管道
thermaldynamics:duct_32:2, 动能物品管道
thermaldynamics:duct_32:3, 真空不透明动能物品管道
thermaldynamics:duct_32:3, 致密不透明动能物品管道
thermaldynamics:duct_32:3, 不透明动能物品管道
thermaldynamics:duct_32:4, 真空信素物品管道
thermaldynamics:duct_32:4, 致密信素物品管道
thermaldynamics:duct_32:4, 信素物品管道
thermaldynamics:duct_32:5, 真空不透明信素物品管道
thermaldynamics:duct_32:5, 致密不透明信素物品管道
thermaldynamics:duct_32:5, 不透明信素物品管道
thermaldynamics:duct_32:6, 真空信素推进物品管道
thermaldynamics:duct_32:6, 致密信素推进物品管道
thermaldynamics:duct_32:6, 信素推进物品管道
thermaldynamics:duct_32:7, 真空不透明信素推进物品管道
thermaldynamics:duct_32:7, 致密不透明信素推进物品管道
thermaldynamics:duct_32:7, 不透明信素推进物品管道
thermaldynamics:duct_48:0, 结构管道
thermaldynamics:duct_64:0, 旅行管道
thermaldynamics:duct_64:1, 远程旅行管道
thermaldynamics:duct_64:2, 远程连接旅行管道
thermaldynamics:duct_64:3, 旅行管道（未处理）
thermaldynamics:servo:0, 伺服器
thermaldynamics:servo:1, 硬化伺服器
thermaldynamics:servo:2, 强化伺服器
thermaldynamics:servo:3, 信素伺服器
thermaldynamics:servo:4, 谐振伺服器
thermaldynamics:filter:0, 过滤器
thermaldynamics:filter:1, 硬化过滤器
thermaldynamics:filter:2, 强化过滤器
thermaldynamics:filter:3, 信素过滤器
thermaldynamics:filter:4, 谐振过滤器
thermaldynamics:retriever:0, 检索器
thermaldynamics:retriever:1, 硬化检索器
thermaldynamics:retriever:2, 强化检索器
thermaldynamics:retriever:3, 信素检索器
thermaldynamics:retriever:4, 谐振检索器
thermaldynamics:relay:0, 红石信号中继器
thermaldynamics:cover:0, 覆盖板：石头
thermaldynamics:cover:0, 覆盖板：花岗岩
thermaldynamics:cover:0, 覆盖板：磨制花岗岩
thermaldynamics:cover:0, 覆盖板：闪长岩
thermaldynamics:cover:0, 覆盖板：磨制闪长岩
thermaldynamics:cover:0, 覆盖板：安山岩
thermaldynamics:cover:0, 覆盖板：磨制安山岩
thermaldynamics:cover:0, 覆盖板：草方块
thermaldynamics:cover:0, 覆盖板：泥土
thermaldynamics:cover:0, 覆盖板：砂土
thermaldynamics:cover:0, 覆盖板：灰化土
thermaldynamics:cover:0, 覆盖板：圆石
thermaldynamics:cover:0, 覆盖板：橡木木板
thermaldynamics:cover:0, 覆盖板：云杉木板
thermaldynamics:cover:0, 覆盖板：白桦木板
thermaldynamics:cover:0, 覆盖板：丛林木板
thermaldynamics:cover:0, 覆盖板：金合欢木板
thermaldynamics:cover:0, 覆盖板：深色橡木木板
thermaldynamics:cover:0, 覆盖板：基岩
thermaldynamics:cover:0, 覆盖板：沙子
thermaldynamics:cover:0, 覆盖板：红沙
thermaldynamics:cover:0, 覆盖板：沙砾
thermaldynamics:cover:0, 覆盖板：金矿石
thermaldynamics:cover:0, 覆盖板：铁矿石
thermaldynamics:cover:0, 覆盖板：煤矿石
thermaldynamics:cover:0, 覆盖板：橡木
thermaldynamics:cover:0, 覆盖板：云杉木
thermaldynamics:cover:0, 覆盖板：白桦木
thermaldynamics:cover:0, 覆盖板：丛林木
thermaldynamics:cover:0, 覆盖板：橡树树叶
thermaldynamics:cover:0, 覆盖板：云杉树叶
thermaldynamics:cover:0, 覆盖板：白桦树叶
thermaldynamics:cover:0, 覆盖板：丛林树叶
thermaldynamics:cover:0, 覆盖板：海绵
thermaldynamics:cover:0, 覆盖板：湿海绵
thermaldynamics:cover:0, 覆盖板：玻璃
thermaldynamics:cover:0, 覆盖板：青金石矿石
thermaldynamics:cover:0, 覆盖板：青金石块
thermaldynamics:cover:0, 覆盖板：砂岩
thermaldynamics:cover:0, 覆盖板：錾制砂岩
thermaldynamics:cover:0, 覆盖板：切制砂岩
thermaldynamics:cover:0, 覆盖板：白色羊毛
thermaldynamics:cover:0, 覆盖板：橙色羊毛
thermaldynamics:cover:0, 覆盖板：品红色羊毛
thermaldynamics:cover:0, 覆盖板：淡蓝色羊毛
thermaldynamics:cover:0, 覆盖板：黄色羊毛
thermaldynamics:cover:0, 覆盖板：黄绿色羊毛
thermaldynamics:cover:0, 覆盖板：粉红色羊毛
thermaldynamics:cover:0, 覆盖板：灰色羊毛
thermaldynamics:cover:0, 覆盖板：淡灰色羊毛
thermaldynamics:cover:0, 覆盖板：青色羊毛
thermaldynamics:cover:0, 覆盖板：紫色羊毛
thermaldynamics:cover:0, 覆盖板：蓝色羊毛
thermaldynamics:cover:0, 覆盖板：棕色羊毛
thermaldynamics:cover:0, 覆盖板：绿色羊毛
thermaldynamics:cover:0, 覆盖板：红色羊毛
thermaldynamics:cover:0, 覆盖板：黑色羊毛
thermaldynamics:cover:0, 覆盖板：金块
thermaldynamics:cover:0, 覆盖板：铁块
thermaldynamics:cover:0, 覆盖板：石台阶
thermaldynamics:cover:0, 覆盖板：砂岩台阶
thermaldynamics:cover:0, 覆盖板：圆石台阶
thermaldynamics:cover:0, 覆盖板：砖台阶
thermaldynamics:cover:0, 覆盖板：石砖台阶
thermaldynamics:cover:0, 覆盖板：地狱砖台阶
thermaldynamics:cover:0, 覆盖板：石英台阶
thermaldynamics:cover:0, 覆盖板：砖块
thermaldynamics:cover:0, 覆盖板：TNT
thermaldynamics:cover:0, 覆盖板：书架
thermaldynamics:cover:0, 覆盖板：苔石
thermaldynamics:cover:0, 覆盖板：黑曜石
thermaldynamics:cover:0, 覆盖板：橡木楼梯
thermaldynamics:cover:0, 覆盖板：钻石矿石
thermaldynamics:cover:0, 覆盖板：钻石块
thermaldynamics:cover:0, 覆盖板：工作台
thermaldynamics:cover:0, 覆盖板：圆石楼梯
thermaldynamics:cover:0, 覆盖板：红石矿石
thermaldynamics:cover:0, 覆盖板：冰
thermaldynamics:cover:0, 覆盖板：雪
thermaldynamics:cover:0, 覆盖板：仙人掌
thermaldynamics:cover:0, 覆盖板：粘土块
thermaldynamics:cover:0, 覆盖板：南瓜
thermaldynamics:cover:0, 覆盖板：地狱岩
thermaldynamics:cover:0, 覆盖板：灵魂沙
thermaldynamics:cover:0, 覆盖板：荧石
thermaldynamics:cover:0, 覆盖板：南瓜灯
thermaldynamics:cover:0, 覆盖板：白色染色玻璃
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃
thermaldynamics:cover:0, 覆盖板：青色染色玻璃
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃
thermaldynamics:cover:0, 覆盖板：红色染色玻璃
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃
thermaldynamics:cover:0, 覆盖板：石头怪物蛋
thermaldynamics:cover:0, 覆盖板：圆石怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：苔石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：裂石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：錾制石砖怪物蛋
thermaldynamics:cover:0, 覆盖板：石砖
thermaldynamics:cover:0, 覆盖板：苔石砖
thermaldynamics:cover:0, 覆盖板：裂石砖
thermaldynamics:cover:0, 覆盖板：錾制石砖
thermaldynamics:cover:0, 覆盖板：铁栏杆
thermaldynamics:cover:0, 覆盖板：玻璃板
thermaldynamics:cover:0, 覆盖板：西瓜
thermaldynamics:cover:0, 覆盖板：砖楼梯
thermaldynamics:cover:0, 覆盖板：石砖楼梯
thermaldynamics:cover:0, 覆盖板：菌丝
thermaldynamics:cover:0, 覆盖板：地狱砖
thermaldynamics:cover:0, 覆盖板：地狱砖楼梯
thermaldynamics:cover:0, 覆盖板：末地传送门
thermaldynamics:cover:0, 覆盖板：末地石
thermaldynamics:cover:0, 覆盖板：红石灯
thermaldynamics:cover:0, 覆盖板：橡木台阶
thermaldynamics:cover:0, 覆盖板：云杉木台阶
thermaldynamics:cover:0, 覆盖板：桦木台阶
thermaldynamics:cover:0, 覆盖板：丛林木台阶
thermaldynamics:cover:0, 覆盖板：金合欢木台阶
thermaldynamics:cover:0, 覆盖板：深色橡木台阶
thermaldynamics:cover:0, 覆盖板：砂岩楼梯
thermaldynamics:cover:0, 覆盖板：绿宝石矿石
thermaldynamics:cover:0, 覆盖板：绊线钩
thermaldynamics:cover:0, 覆盖板：绿宝石块
thermaldynamics:cover:0, 覆盖板：云杉木楼梯
thermaldynamics:cover:0, 覆盖板：桦木楼梯
thermaldynamics:cover:0, 覆盖板：丛林木楼梯
thermaldynamics:cover:0, 覆盖板：红石块
thermaldynamics:cover:0, 覆盖板：下界石英矿石
thermaldynamics:cover:0, 覆盖板：石英块
thermaldynamics:cover:0, 覆盖板：錾制石英块
thermaldynamics:cover:0, 覆盖板：竖纹石英块
thermaldynamics:cover:0, 覆盖板：石英楼梯
thermaldynamics:cover:0, 覆盖板：白色陶瓦
thermaldynamics:cover:0, 覆盖板：橙色陶瓦
thermaldynamics:cover:0, 覆盖板：品红色陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：黄色陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色陶瓦
thermaldynamics:cover:0, 覆盖板：灰色陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色陶瓦
thermaldynamics:cover:0, 覆盖板：青色陶瓦
thermaldynamics:cover:0, 覆盖板：紫色陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色陶瓦
thermaldynamics:cover:0, 覆盖板：棕色陶瓦
thermaldynamics:cover:0, 覆盖板：绿色陶瓦
thermaldynamics:cover:0, 覆盖板：红色陶瓦
thermaldynamics:cover:0, 覆盖板：黑色陶瓦
thermaldynamics:cover:0, 覆盖板：白色染色玻璃板
thermaldynamics:cover:0, 覆盖板：橙色染色玻璃板
thermaldynamics:cover:0, 覆盖板：品红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黄绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：粉红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：淡灰色染色玻璃板
thermaldynamics:cover:0, 覆盖板：青色染色玻璃板
thermaldynamics:cover:0, 覆盖板：紫色染色玻璃板
thermaldynamics:cover:0, 覆盖板：蓝色染色玻璃板
thermaldynamics:cover:0, 覆盖板：棕色染色玻璃板
thermaldynamics:cover:0, 覆盖板：绿色染色玻璃板
thermaldynamics:cover:0, 覆盖板：红色染色玻璃板
thermaldynamics:cover:0, 覆盖板：黑色染色玻璃板
thermaldynamics:cover:0, 覆盖板：金合欢树叶
thermaldynamics:cover:0, 覆盖板：深色橡树树叶
thermaldynamics:cover:0, 覆盖板：金合欢木
thermaldynamics:cover:0, 覆盖板：深色橡木
thermaldynamics:cover:0, 覆盖板：金合欢木楼梯
thermaldynamics:cover:0, 覆盖板：深色橡木楼梯
thermaldynamics:cover:0, 覆盖板：粘液块
thermaldynamics:cover:0, 覆盖板：海晶石
thermaldynamics:cover:0, 覆盖板：海晶石砖
thermaldynamics:cover:0, 覆盖板：暗海晶石
thermaldynamics:cover:0, 覆盖板：海晶灯
thermaldynamics:cover:0, 覆盖板：干草块
thermaldynamics:cover:0, 覆盖板：陶瓦
thermaldynamics:cover:0, 覆盖板：煤炭块
thermaldynamics:cover:0, 覆盖板：浮冰
thermaldynamics:cover:0, 覆盖板：红砂岩
thermaldynamics:cover:0, 覆盖板：錾制红砂岩
thermaldynamics:cover:0, 覆盖板：切制红砂岩
thermaldynamics:cover:0, 覆盖板：红砂岩楼梯
thermaldynamics:cover:0, 覆盖板：红砂岩台阶
thermaldynamics:cover:0, 覆盖板：紫珀块
thermaldynamics:cover:0, 覆盖板：竖纹紫珀块
thermaldynamics:cover:0, 覆盖板：紫珀楼梯
thermaldynamics:cover:0, 覆盖板：紫珀台阶
thermaldynamics:cover:0, 覆盖板：末地石砖
thermaldynamics:cover:0, 覆盖板：岩浆块
thermaldynamics:cover:0, 覆盖板：地狱疣块
thermaldynamics:cover:0, 覆盖板：红色地狱砖
thermaldynamics:cover:0, 覆盖板：骨块
thermaldynamics:cover:0, 覆盖板：侦测器
thermaldynamics:cover:0, 覆盖板：白色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：橙色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：品红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黄绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：粉红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：淡灰色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：青色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：紫色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：蓝色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：棕色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：绿色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：红色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：黑色带釉陶瓦
thermaldynamics:cover:0, 覆盖板：白色混凝土
thermaldynamics:cover:0, 覆盖板：橙色混凝土
thermaldynamics:cover:0, 覆盖板：品红色混凝土
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土
thermaldynamics:cover:0, 覆盖板：黄色混凝土
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土
thermaldynamics:cover:0, 覆盖板：粉红色混凝土
thermaldynamics:cover:0, 覆盖板：灰色混凝土
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土
thermaldynamics:cover:0, 覆盖板：青色混凝土
thermaldynamics:cover:0, 覆盖板：紫色混凝土
thermaldynamics:cover:0, 覆盖板：蓝色混凝土
thermaldynamics:cover:0, 覆盖板：棕色混凝土
thermaldynamics:cover:0, 覆盖板：绿色混凝土
thermaldynamics:cover:0, 覆盖板：红色混凝土
thermaldynamics:cover:0, 覆盖板：黑色混凝土
thermaldynamics:cover:0, 覆盖板：白色混凝土粉末
thermaldynamics:cover:0, 覆盖板：橙色混凝土粉末
thermaldynamics:cover:0, 覆盖板：品红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黄绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：粉红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：淡灰色混凝土粉末
thermaldynamics:cover:0, 覆盖板：青色混凝土粉末
thermaldynamics:cover:0, 覆盖板：紫色混凝土粉末
thermaldynamics:cover:0, 覆盖板：蓝色混凝土粉末
thermaldynamics:cover:0, 覆盖板：棕色混凝土粉末
thermaldynamics:cover:0, 覆盖板：绿色混凝土粉末
thermaldynamics:cover:0, 覆盖板：红色混凝土粉末
thermaldynamics:cover:0, 覆盖板：黑色混凝土粉末
thermaldynamics:cover:0, 覆盖板：玄武岩
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：铅矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：铀矿石
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：铅块
thermaldynamics:cover:0, 覆盖板：钢块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：铀块
thermaldynamics:cover:0, 覆盖板：防爆石
thermaldynamics:cover:0, 覆盖板：基础机械外壳
thermaldynamics:cover:0, 覆盖板：高级机械外壳
thermaldynamics:cover:0, 覆盖板：核反应堆压力容器
thermaldynamics:cover:0, 覆盖板：银块
thermaldynamics:cover:0, 覆盖板：橡胶树树叶
thermaldynamics:cover:0, 覆盖板：橡胶树原木
thermaldynamics:cover:0, 覆盖板：橡胶树树苗
thermaldynamics:cover:0, 覆盖板：脚手架
thermaldynamics:cover:0, 覆盖板：强化脚手架
thermaldynamics:cover:0, 覆盖板：铁质脚手架
thermaldynamics:cover:0, 覆盖板：强化铁质脚手架
thermaldynamics:cover:0, 覆盖板：铁栅栏
thermaldynamics:cover:0, 覆盖板：树脂垫
thermaldynamics:cover:0, 覆盖板：橡胶垫
thermaldynamics:cover:0, 覆盖板：羊毛垫
thermaldynamics:cover:0, 覆盖板：防爆玻璃
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：强化建筑泡沫
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黑色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（棕色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（青色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡蓝色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（淡灰色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄绿色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（品红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（橙色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（粉红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（紫色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（红色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（白色）
thermaldynamics:cover:0, 覆盖板：建筑泡沫墙（黄色）
thermaldynamics:cover:0, 覆盖板：采矿管道
thermaldynamics:cover:0, 覆盖板：防爆门
thermaldynamics:cover:0, 覆盖板：耐火砖
thermaldynamics:cover:0, 覆盖板：UU物质
thermaldynamics:cover:0, 覆盖板：建筑泡沫
thermaldynamics:cover:0, 覆盖板：IC2冷却液
thermaldynamics:cover:0, 覆盖板：杂酚油
thermaldynamics:cover:0, 覆盖板：IC2热冷却液
thermaldynamics:cover:0, 覆盖板：绳状熔岩
thermaldynamics:cover:0, 覆盖板：生物质
thermaldynamics:cover:0, 覆盖板：沼气
thermaldynamics:cover:0, 覆盖板：蒸馏水
thermaldynamics:cover:0, 覆盖板：过热蒸汽
thermaldynamics:cover:0, 覆盖板：蒸汽
thermaldynamics:cover:0, 覆盖板：温泉水
thermaldynamics:cover:0, 覆盖板：除草剂喷雾
thermaldynamics:cover:0, 覆盖板：空气
thermaldynamics:cover:0, 覆盖板：氢气
thermaldynamics:cover:0, 覆盖板：氧气
thermaldynamics:cover:0, 覆盖板：重水
thermaldynamics:cover:0, 覆盖板：沼泽泥
thermaldynamics:cover:0, 覆盖板：腐殖土
thermaldynamics:cover:0, 覆盖板：磷矿石
thermaldynamics:cover:0, 覆盖板：铜矿石
thermaldynamics:cover:0, 覆盖板：锡矿石
thermaldynamics:cover:0, 覆盖板：磷灰石块
thermaldynamics:cover:0, 覆盖板：铜块
thermaldynamics:cover:0, 覆盖板：锡块
thermaldynamics:cover:0, 覆盖板：青铜块
thermaldynamics:cover:0, 覆盖板：灰砖
thermaldynamics:cover:0, 覆盖板：灰砖楼梯
thermaldynamics:cover:0, 覆盖板：木炭块
thermaldynamics:cover:0, 覆盖板：原木堆
thermaldynamics:cover:0, 覆盖板：装饰用原木堆
thermaldynamics:cover:0, 覆盖板：壤土
thermaldynamics:cover:0, 覆盖板：蜡烛
thermaldynamics:cover:0, 覆盖板：蜜蜂蜂窝块
thermaldynamics:cover:0, 覆盖板：激化蜂窝块
thermaldynamics:cover:0, 覆盖板：纤维蜂窝块
thermaldynamics:cover:0, 覆盖板：冻结蜂窝块
thermaldynamics:cover:0, 覆盖板：滴水蜂窝块
thermaldynamics:cover:0, 覆盖板：丝滑蜂窝块
thermaldynamics:cover:0, 覆盖板：炎热蜂窝块
thermaldynamics:cover:0, 覆盖板：苔藓蜂窝块
thermaldynamics:cover:0, 覆盖板：醇厚蜂窝块
thermaldynamics:cover:0, 覆盖板：落叶树原木
thermaldynamics:cover:0, 覆盖板：柚树原木
thermaldynamics:cover:0, 覆盖板：金合欢树原木
thermaldynamics:cover:0, 覆盖板：酸橙树原木
thermaldynamics:cover:0, 覆盖板：栗树原木
thermaldynamics:cover:0, 覆盖板：崖豆树原木
thermaldynamics:cover:0, 覆盖板：猴面包树原木
thermaldynamics:cover:0, 覆盖板：红杉树原木
thermaldynamics:cover:0, 覆盖板：木棉树原木
thermaldynamics:cover:0, 覆盖板：乌檀树原木
thermaldynamics:cover:0, 覆盖板：桃心树原木
thermaldynamics:cover:0, 覆盖板：巴尔杉树原木
thermaldynamics:cover:0, 覆盖板：柳树原木
thermaldynamics:cover:0, 覆盖板：胡桃树原木
thermaldynamics:cover:0, 覆盖板：绿樟树原木
thermaldynamics:cover:0, 覆盖板：樱树原木
thermaldynamics:cover:0, 覆盖板：高槿树原木
thermaldynamics:cover:0, 覆盖板：白杨树原木
thermaldynamics:cover:0, 覆盖板：棕榈树原木
thermaldynamics:cover:0, 覆盖板：木瓜树原木
thermaldynamics:cover:0, 覆盖板：松树原木
thermaldynamics:cover:0, 覆盖板：李子树原木
thermaldynamics:cover:0, 覆盖板：枫树原木
thermaldynamics:cover:0, 覆盖板：柑橘树原木
thermaldynamics:cover:0, 覆盖板：巨杉树原木
thermaldynamics:cover:0, 覆盖板：重蚁树原木
thermaldynamics:cover:0, 覆盖板：紫檀树原木
thermaldynamics:cover:0, 覆盖板：黄檀树原木
thermaldynamics:cover:0, 覆盖板：斑木树原木
thermaldynamics:cover:0, 覆盖板：抗燃落叶树原木
thermaldynamics:cover:0, 覆盖板：抗燃柚树原木
thermaldynamics:cover:0, 覆盖板：抗燃金合欢树原木
thermaldynamics:cover:0, 覆盖板：抗燃酸橙树原木
thermaldynamics:cover:0, 覆盖板：抗燃栗树原木
thermaldynamics:cover:0, 覆盖板：抗燃崖豆树原木
thermaldynamics:cover:0, 覆盖板：抗燃猴面包树原木
thermaldynamics:cover:0, 覆盖板：抗燃红杉树原木
thermaldynamics:cover:0, 覆盖板：抗燃木棉树原木
thermaldynamics:cover:0, 覆盖板：抗燃乌檀树原木
thermaldynamics:cover:0, 覆盖板：抗燃桃心树原木
thermaldynamics:cover:0, 覆盖板：抗燃巴尔杉树原木
thermaldynamics:cover:0, 覆盖板：抗燃柳树原木
thermaldynamics:cover:0, 覆盖板：抗燃胡桃树原木
thermaldynamics:cover:0, 覆盖板：抗燃绿樟树原木
thermaldynamics:cover:0, 覆盖板：抗燃樱树原木
thermaldynamics:cover:0, 覆盖板：抗燃高槿树原木
thermaldynamics:cover:0, 覆盖板：抗燃白杨树原木
thermaldynamics:cover:0, 覆盖板：抗燃棕榈树原木
thermaldynamics:cover:0, 覆盖板：抗燃木瓜树原木
thermaldynamics:cover:0, 覆盖板：抗燃松树原木
thermaldynamics:cover:0, 覆盖板：抗燃李子树原木
thermaldynamics:cover:0, 覆盖板：抗燃枫树原木
thermaldynamics:cover:0, 覆盖板：抗燃柑橘树原木
thermaldynamics:cover:0, 覆盖板：抗燃巨杉树原木
thermaldynamics:cover:0, 覆盖板：抗燃重蚁树原木
thermaldynamics:cover:0, 覆盖板：抗燃紫檀树原木
thermaldynamics:cover:0, 覆盖板：抗燃黄檀树原木
thermaldynamics:cover:0, 覆盖板：抗燃斑木树原木
thermaldynamics:cover:0, 覆盖板：抗燃橡木
thermaldynamics:cover:0, 覆盖板：抗燃云杉木
thermaldynamics:cover:0, 覆盖板：抗燃白桦木
thermaldynamics:cover:0, 覆盖板：抗燃丛林木
thermaldynamics:cover:0, 覆盖板：抗燃金合欢木
